,0,1,2
0,0.0,0.05,6.1
1,0.0,0.025,10.8
2,0.0,0.016666666666666666,17.8
3,0.0,0.0125,29.8
4,0.0,0.01,42.9
5,0.0,0.008333333333333333,52.5
6,0.0,0.0071428571428571435,62.5
7,0.0,0.00625,75.3
8,0.0,0.005555555555555556,84.9
9,0.0,0.005,97.1
10,0.25,0.05,5.1
11,0.25,0.025,11.6
12,0.25,0.016666666666666666,14.2
13,0.25,0.0125,22.5
14,0.25,0.01,35.2
15,0.25,0.008333333333333333,45.2
16,0.25,0.0071428571428571435,51.9
17,0.25,0.00625,58.4
18,0.25,0.005555555555555556,78.6
19,0.25,0.005,80.6
20,0.5,0.05,4.3
21,0.5,0.025,7.2
22,0.5,0.016666666666666666,12.0
23,0.5,0.0125,21.5
24,0.5,0.01,36.7
25,0.5,0.008333333333333333,45.3
26,0.5,0.0071428571428571435,53.8
27,0.5,0.00625,64.5
28,0.5,0.005555555555555556,68.9
29,0.5,0.005,73.4
30,1.0,0.05,4.4
31,1.0,0.025,7.3
32,1.0,0.016666666666666666,15.3
33,1.0,0.0125,27.5
34,1.0,0.01,45.6
35,1.0,0.008333333333333333,67.1
36,1.0,0.0071428571428571435,77.0
37,1.0,0.00625,99.9
38,1.0,0.005555555555555556,103.0
39,1.0,0.005,112.2
