,0,1,2
0,0.0,0.01,18.4
1,0.0,0.005,34.9
2,0.0,0.0033333333333333335,42.5
3,0.0,0.0025,51.3
4,0.0,0.002,63.5
5,0.0,0.0016666666666666668,65.8
6,0.0,0.0014285714285714286,66.5
7,0.0,0.00125,69.7
8,0.0,0.0011111111111111111,74.8
9,0.0,0.001,76.5
10,0.25,0.01,14.5
11,0.25,0.005,30.1
12,0.25,0.0033333333333333335,36.7
13,0.25,0.0025,40.1
14,0.25,0.002,43.2
15,0.25,0.0016666666666666668,46.6
16,0.25,0.0014285714285714286,54.2
17,0.25,0.00125,54.7
18,0.25,0.0011111111111111111,58.5
19,0.25,0.001,60.4
20,0.5,0.01,13.0
21,0.5,0.005,26.6
22,0.5,0.0033333333333333335,35.2
23,0.5,0.0025,39.4
24,0.5,0.002,40.4
25,0.5,0.0016666666666666668,42.5
26,0.5,0.0014285714285714286,45.3
27,0.5,0.00125,49.1
28,0.5,0.0011111111111111111,53.5
29,0.5,0.001,54.0
30,1.0,0.01,17.9
31,1.0,0.005,38.8
32,1.0,0.0033333333333333335,50.5
33,1.0,0.0025,57.5
34,1.0,0.002,68.6
35,1.0,0.0016666666666666668,74.6
36,1.0,0.0014285714285714286,77.4
37,1.0,0.00125,82.2
38,1.0,0.0011111111111111111,83.0
39,1.0,0.001,83.6
