,0,1,2
0,True,0.01,13.4
1,True,0.005,21.6
2,True,0.0033333333333333335,33.1
3,True,0.0025,41.1
4,True,0.002,54.3
5,True,0.0016666666666666668,72.3
6,True,0.0014285714285714286,92.7
7,True,0.00125,109.7
8,True,0.0011111111111111111,114.3
9,True,0.001,134.8
10,False,0.01,9.8
11,False,0.005,12.9
12,False,0.0033333333333333335,13.8
13,False,0.0025,15.2
14,False,0.002,17.4
15,False,0.0016666666666666668,19.3
16,False,0.0014285714285714286,20.5
17,False,0.00125,24.3
18,False,0.0011111111111111111,29.7
19,False,0.001,30.6
